timestamp,ppg_value
0.0,0.7425512986640291
0.01,0.770357304244574
0.02,0.8240874836023392
0.03,0.8731930937387217
0.04,0.8560225739133693
0.05,0.8715321325275592
0.06,0.9212058446848141
0.07,0.9054074833434679
0.08,0.8743867954565626
0.09,0.8892471306509533
0.1,0.8547048982069513
0.11,0.839901451962949
0.12,0.8392523946719945
0.13,0.773213728150398
0.14,0.7601438587088503
0.15,0.7700237753219403
0.16,0.7452329202596905
0.17,0.7627897633911739
0.18,0.7255105800934292
0.19,0.7072656801581207
0.2,0.7681418248918269
0.21,0.7286807243033278
0.22,0.7363510007955637
0.23,0.7056925607824294
0.24,0.7299242901410323
0.25,0.7498671318700629
0.26,0.7267353769134896
0.27,0.7660197000130163
0.28,0.7478291054832135
0.29,0.7570878983292498
0.3,0.7504633626817321
0.31,0.803960389454548
0.32,0.7577054395788991
0.33,0.7276144153930039
0.34,0.7612187738594571
0.35000000000000003,0.7043323803476331
0.36,0.7240636669602833
0.37,0.661358055402199
0.38,0.6609212406820272
0.39,0.6802110741164755
0.4,0.6773293084999037
0.41000000000000003,0.6498274099624547
0.42,0.6293209520366416
0.43,0.6119888317677743
0.44,0.573266953248849
0.45,0.5791531514799375
0.46,0.5745851700860266
0.47000000000000003,0.5989494538830997
0.48,0.5732064589135462
0.49,0.5158320921822787
0.5,0.5523360966116412
0.51,0.5246228246833979
0.52,0.5046956083261589
0.53,0.5183782011105298
0.54,0.5101202512243133
0.55,0.4876254806361689
0.56,0.42487493264616166
0.5700000000000001,0.4115283872528747
0.58,0.39849012716500354
0.59,0.38381531832525007
0.6,0.3207155475741264
0.61,0.2967163296021474
0.62,0.24591986632402882
0.63,0.21542930680966538
0.64,0.23487536855222663
0.65,0.2249562250992816
0.66,0.17525617351063646
0.67,0.18762844244793533
0.68,0.16769474386782984
0.6900000000000001,0.1465900379523725
0.7000000000000001,0.1783721023632457
0.71,0.22168748924583273
0.72,0.21064230837563921
0.73,0.27854283504367466
0.74,0.22283561059097381
0.75,0.3451454157333706
0.76,0.3783642348529647
0.77,0.4233775528671833
0.78,0.4885505055339777
0.79,0.4992984896660291
0.8,0.5966619032492958
0.81,0.6656469339328401
0.8200000000000001,0.7440613738065024
0.8300000000000001,0.7481597844337478
0.84,0.7856571914059799
0.85,0.8307134330221685
0.86,0.8942988691640809
0.87,0.905829321704355
0.88,0.9042460177004267
0.89,0.9386916729611127
0.9,0.9337553096182857
0.91,0.9519549504494387
